PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
disease,Sentinel lymph node,lymph node neoplasm,Medium,MONDO_0024339,
,PCT where patients GP was registered: KIRKLEES PCT,platelet crit,Good,EFO_0007985,
,Clinical oncology,clinical history,Medium,EFO_0000352,
,Clinical oncology,clinical temporal measurement,Medium,EFO_0004949,
disease,Labour and delivery complicated by foetal stress [distress],Abnormal delivery,High,HP_0001787,
,Double crust pastry intake,energy intake,Medium,EFO_0003939,
,Double crust pastry intake,fish consumption measurement,Medium,EFO_0010139,
,Mental health problems ever diagnosed by a professional: Depression,mental health,Good,EFO_0003935,
,Corneal hysteresis (left),corneal hysteresis,Good,EFO_0010066,
,Sleep disorders (combined),Sleep Disorder,Good,EFO_0008568,
,Scar conditions and fibrosis of skin,N/A,Did not map,N/A,
,"Job coding: it operations technician, computer operator or technician, database manager, network or web technician, web master, systems administrator or officer",technician,Good,EFO_0009739,
disease,Internal haemorrhoids without complication,complication,Medium,EFO_0009518,
disease,Internal haemorrhoids without complication,device complication,Medium,EFO_0009519,
,Lymphomas,lymphoma,High,EFO_0000574,
,"Hair colour (natural, before greying): Red",hair colour measurement,Medium,EFO_0007822,
,"Hair colour (natural, before greying): Red",red-green color blindness,Medium,EFO_0005581,
,Gap coding: Paid work for less than 15 hours per week on average or lasting less than 6 months,Small for gestational age,Medium,HP_0001518,
,Gap coding: Paid work for less than 15 hours per week on average or lasting less than 6 months,Decreased body weight,Medium,HP_0004325,
,PCT where patients GP was registered: WESTMINSTER PCT,platelet crit,Good,EFO_0007985,
treatment,abdominal/pelvic adhesion surgery,prophylactic surgery,Good,EFO_0009580,
,Reason for glasses/contact lenses: For 'astigmatism',Astigmatism,Medium,HP_0000483,
,Reason for glasses/contact lenses: For 'astigmatism',Small for gestational age,Medium,HP_0001518,
,"Soft tissue disorders related to use, overuse and pressure",soft tissue disease,High,EFO_0009470,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication",medication adherence behavior,Good,EFO_0006344,
,Depression possibly related to childbirth,related to,Medium,related_to,
,Depression possibly related to childbirth,depressive disorder,Medium,MONDO_0002050,
disease,Personal history of malignant neoplasms of other organs and systems,sensory system,Good,UBERON_0001032,
disease,Umbilical hernia without obstruction or gangrene,gas gangrene,Medium,EFO_0007279,
disease,Umbilical hernia without obstruction or gangrene,epiglottitis,Medium,EFO_0007261,
,Fasting time,fasting,Medium,EFO_0002756,
,Fasting time,fasting blood glucose measurement,Medium,EFO_0004465,
,Types of spread used on bread/crackers: Dairy spread on bread/crackers,Episcleritis,Medium,HP_0100534,
,Types of spread used on bread/crackers: Dairy spread on bread/crackers,depends on,Medium,RO_0002502,
,PCT responsible for patient data: REDCAR AND CLEVELAND PCT,N/A,Did not map,N/A,
,Total bilirubin,bilirubin measurement,Good,EFO_0004570,
,Type milk consumed: soya with calcium,specimen with known storage state,Medium,OBI_0001472,
,Type milk consumed: soya with calcium,Poikiloderma with neutropenia,Medium,Orphanet_221046,
disease,Other specified local anaesthetic,glaucoma,Medium,EFO_0000516,
disease,Other specified local anaesthetic,anthrax infection,Medium,EFO_0000778,
disease,Acromioclavicular joint,temporomandibular joint disorder,Medium,EFO_0005279,
disease,Acromioclavicular joint,joint disease,Medium,EFO_1000999,
,"Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)",schizophrenia,Medium,EFO_0000692,
,"Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)",INTACT,Medium,EFO_0010037,
treatment,co-codamol,Coimbra ecotype,Medium,EFO_0005176,
treatment,co-codamol,Co-1,Medium,EFO_0005177,
,Whole body fat-free mass,lean body mass,High,EFO_0004995,
,Pain type(s) experienced in last month: Headache,Tension-type headache,Medium,HP_0012228,
,Pain type(s) experienced in last month: Headache,Abdominal pain,Medium,HP_0002027,
,Ever had corneal graft surgery: No,prophylactic surgery,Good,EFO_0009580,
disease,Chest NEC,necrotizing enterocolitis,Good,EFO_0003928,
treatment,cetirizine,N/A,Did not map,N/A,
,"Job SOC coding: Accounts and wages clerks, book-keepers, other financial clerks",N/A,Did not map,N/A,
,Size of white wine glass drunk: medium (175ml),white wine liking measurement,Good,EFO_0006948,
,Medication related adverse effects,adverse effect,Medium,EFO_0009658,
,Medication related adverse effects,medication adherence behavior,Medium,EFO_0006344,
,Waist circumference,waist circumference,High,EFO_0004342,
,Mean corpuscular haemoglobin,mean corpuscular hemoglobin,Good,EFO_0004527,
treatment,lipitor 10mg tablet,N/A,Did not map,N/A,
,Average daytime sound level of noise pollution,velocity of sound measurement,Good,EFO_0005654,
,"Medication for pain relief, constipation, heartburn: Aspirin",pain agnosia,Good,EFO_1001484,
,Mineral and other dietary supplements: Calcium,N/A,Did not map,N/A,
,Ever used hormone-replacement therapy (HRT),hormone replacement therapy,High,EFO_0003961,
,Leg predicted mass (right),Lower limb asymmetry,Medium,HP_0100559,
,Leg predicted mass (right),leg,Medium,UBERON_0000978,
,Menstruating today,N/A,Did not map,N/A,
disease,Stress incontinence,C0042025,Medium,C0042025,
disease,Stress incontinence,Stress urinary incontinence,Medium,HP_0010992,
,Cardiology,N/A,Did not map,N/A,
,Other diseases of oesophagus,esophageal disease,High,EFO_0009544,
,Ever talked to a health professional about unusual or psychotic experiences,mental or behavioural disorder,Good,EFO_0000677,
disease,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery,N/A,Did not map,N/A,
,Other meat intake,energy intake,Medium,EFO_0003939,
,Other meat intake,fish consumption measurement,Medium,EFO_0010139,
,Unsalted peanuts intake,energy intake,Medium,EFO_0003939,
,Unsalted peanuts intake,fish consumption measurement,Medium,EFO_0010139,
disease,Computed tomography of abdomen NEC,Pancreatic Small Cell Neuroendocrine Carcinoma,Good,EFO_1000444,
,Age at bilateral oophorectomy (both ovaries removed),bilateral oophorectomy,Medium,EFO_0009717,
,Age at bilateral oophorectomy (both ovaries removed),age at assessment,Medium,EFO_0008007,
,Attendance/disability/mobility allowance: Disability living allowance,learning disability,Medium,MONDO_0004681,
,Attendance/disability/mobility allowance: Disability living allowance,Intellectual disability,Medium,HP_0001249,
,Current employment status: Doing unpaid or voluntary work,employment status,Medium,EFO_0005241,
,Current employment status: Doing unpaid or voluntary work,maximal voluntary ventilation,Medium,EFO_0008431,
,"Non-cancer illness code, self-reported: type 2 diabetes",type II diabetes mellitus,Medium,EFO_0001360,
,"Non-cancer illness code, self-reported: type 2 diabetes",type 2 diabetes nephropathy,Medium,EFO_0004997,
,Vitamin and mineral supplements: Vitamin E,N/A,Did not map,N/A,
disease,Intravenous chemotherapy,chemotherapy-induced hypertension,Medium,EFO_0005942,
disease,Intravenous chemotherapy,chemotherapy-induced oral mucositis,Medium,EFO_0006313,
,Leisure/social activities: Pub or social club,social desirability,Medium,EFO_0004366,
,Leisure/social activities: Pub or social club,social deprivation,Medium,EFO_0009696,
,Fluid intelligence score,intelligence,High,EFO_0004337,
,Seen doctor (GP) for nerves  anxiety  tension or depression,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",High,EFO_0009820,
,PCT where patients GP was registered: BRISTOL PCT,platelet crit,Good,EFO_0007985,
,SHBG,sex hormone-binding globulin,Good,EFO_0003941,
disease,Other chest pain,intermediate coronary syndrome,Medium,EFO_1000985,
disease,Other chest pain,pneumonia,Medium,EFO_0003106,
,Illnesses of father: None of the above (group 1),"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Job coding: research or laboratory manager,job-related exhaustion measurement,Medium,EFO_0007881,
,Job coding: research or laboratory manager,job satisfaction measurement,Medium,EFO_0009723,
,Actinic keratosis,actinic keratosis,High,EFO_0002496,
,Type of large bap eaten: white,basophil progenitor cell,Medium,CL_0000613,
,Type of large bap eaten: white,ovarian large-cell neuroendocrine carcinoma,Medium,MONDO_0003049,
,Transport type for commuting to job workplace: Walk,"ability to walk or cycle unaided for 10 minutes, self-reported",Good,EFO_0009822,
,"Ever felt worried, tense, or anxious for most of a month or longer",number of children ever born measurement,Good,EFO_0009102,
,Mean reticulocyte volume,mean reticulocyte volume,Good,EFO_0010701,
,Mouth/teeth dental problems: Dentures,dentures,Good,EFO_0010078,
,PCT where patients GP was registered: TAMESIDE AND GLOSSOP PCT,N/A,Did not map,N/A,
disease,Gastro-oesophageal reflux disease without oesophagitis,gastroesophageal reflux disease,Medium,EFO_0003948,
disease,Gastro-oesophageal reflux disease without oesophagitis,peptic esophagitis,Medium,EFO_1001095,
,Ohter specific/unspecified arthritis,unspecified juvenile idiopathic arthritis,Medium,EFO_0009734,
,Ohter specific/unspecified arthritis,arthritis,Medium,EFO_0005856,
,Medication for pain relief  constipation  heartburn: Laxatives (e.g. Dulcolax  Senokot),pain agnosia,Good,EFO_1001484,
,Weight,body weight,High,EFO_0004338,
,Illness  injury  bereavement  stress in last 2 years: Marital separation/divorce,late congenital syphilis,Good,EFO_0007339,
,Relative age voice broke,age at voice drop,High,EFO_0007888,
treatment,venlafaxine,CN236587,Medium,CN236587,
treatment,venlafaxine,"response to venlafaxine, generalized anxiety disorder",Medium,"EFO_0006328, EFO_1001892",
treatment,venlafaxine,response to venlafaxine,Medium,EFO_0006328,
treatment,venlafaxine,generalized anxiety disorder,Medium,EFO_1001892,
disease,Thumb NEC,necrotizing enterocolitis,Good,EFO_0003928,
,Neck/shoulder pain for 3+ months,"Neck pain, Shoulder pain",High,"HP_0030833, HP_0030834",
,Target heart rate achieved,"achievement of target heart rate, self-reported",High,EFO_0009823,
,Day shifts worked: This type of shift pattern was not worked during job,"nap during day, self-reported",Good,EFO_0009818,
,Anaesthetics administered during delivery: Other,perineal laceration during delivery,Good,EFO_0009816,
disease,"Malignant neoplasm of skin, unspecified",neoplasm,Good,EFO_0000616,
,Non-cancer illness code  self-reported: hypopituitarism,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: hypopituitarism,hypopituitarism,Medium,EFO_0001380,
,Bread type: Other type of bread,cornea,Medium,UBERON_0000964,
,Bread type: Other type of bread,"Dysplasia of head of femur, Meyer type",Medium,Orphanet_168621,
,Home area population density - urban or rural: England/Wales - Town and Fringe - less sparse,N/A,Did not map,N/A,
,"Non-cancer illness code, self-reported: chronic fatigue syndrome",chronic fatigue syndrome,Medium,EFO_0004540,
,"Non-cancer illness code, self-reported: chronic fatigue syndrome","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
treatment,adcal-d3 1.5g/10micrograms chewable tablet,ES-D3,Good,EFO_0005910,
,PCT responsible for patient data: EALING PCT,platelet crit,Good,EFO_0007985,
disease,Other specified continuous Infusion of therapeutic substance,glaucoma,Medium,EFO_0000516,
disease,Other specified continuous Infusion of therapeutic substance,anthrax infection,Medium,EFO_0000778,
,PCT responsible for patient data: NOTTINGHAM CITY PCT,platelet crit,Good,EFO_0007985,
treatment,letrozole,letrozole,Good,CHEBI_6413,
,Gastroduodenal ulcer,Gastroduodenal malformation,Medium,Orphanet_97944,
,Gastroduodenal ulcer,ulcer,Medium,MPATH_579,
,HDL cholesterol,high density lipoprotein cholesterol measurement,High,EFO_0004612,
,Astigmatism angle (left),Astigmatism,Medium,HP_0000483,
,Astigmatism angle (left),Rare hyperopia and astigmatism,Medium,Orphanet_98621,
disease,Other non-infective gastro-enteritis and colitis,gastroenteritis,High,EFO_1001463,
,Main speciality of consultant (recoded): Infectious diseases,consultant,Medium,EFO_0001732,
,Main speciality of consultant (recoded): Infectious diseases,dysentery,Medium,EFO_1001869,
treatment,inguinal hernia repair,Inguinal hernia,Medium,HP_0000023,
treatment,inguinal hernia repair,Lambert syndrome,Medium,Orphanet_1296,
,Ophthalmology,N/A,Did not map,N/A,
treatment,vitamin d product,vitamin D deficiency,Good,EFO_0003762,
,Duration screen displayed,duration,Medium,EFO_0000433,
,Duration screen displayed,high content screen of cells treated with library of siRNAs,Medium,EFO_0007551,
,"Forced expiratory volume in 1-second (FEV1), predicted percentage",forced expiratory volume,Good,EFO_0004314,
,Cancer of digestive organs,male reproductive organ cancer,Good,EFO_0007355,
,Manifestations of mania or irritability: I was easily distracted,neurobehavioral manifestations,Good,EFO_0004364,
,"Non-cancer illness code, self-reported: multiple sclerosis",multiple sclerosis,Medium,EFO_0003885,
,"Non-cancer illness code, self-reported: multiple sclerosis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
disease,Ascending colon,ascending colon,High,UBERON_0001156,
,Arm fat mass (left),fat body mass,Medium,EFO_0005409,
,Arm fat mass (left),left ventricular mass,Medium,EFO_0009289,
,Number of incorrect matches in round,cognitive function measurement,High,EFO_0008354,
disease,Other hypothyroidism,hypothyroidism,High,EFO_0004705,
,Mineral and other dietary supplements: Glucosamine,N/A,Did not map,N/A,
treatment,vitamin b compound tablet,compound based treatment,Good,EFO_0000369,
,Omelette intake,energy intake,Medium,EFO_0003939,
,Omelette intake,fish consumption measurement,Medium,EFO_0010139,
,Pack years of smoking PREVIEW ONLY,pack-years measurement,Medium,EFO_0006526,
,Pack years of smoking PREVIEW ONLY,smoking behavior,Medium,EFO_0004318,
disease,Mouth breathing,mouth neoplasm,Medium,EFO_0003868,
disease,Mouth breathing,mouth disease,Medium,EFO_1001047,
,"Cancer code, self-reported: colon cancer/sigmoid cancer","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
treatment,diclofenac,diclofenac sodium,High,CHEBI_4509,
disease,Pulmonary embolism without mention of acute cor pulmonale,cor pulmonale,Medium,MONDO_0004596,
disease,Pulmonary embolism without mention of acute cor pulmonale,chronic pulmonary heart disease,Medium,MONDO_0001493,
,Chest pain or discomfort walking normally,Chest pain,High,HP_0100749,
,Medication for pain relief  constipation  heartburn: Paracetamol,paracetamol,Medium,CHEBI_46195,
,Medication for pain relief  constipation  heartburn: Paracetamol,constipation disorder,Medium,MONDO_0002203,
disease,Repair of minor obstetric laceration,DNA repair deficiency,Medium,EFO_0008499,
disease,Repair of minor obstetric laceration,"Paralysis, Obstetric",Medium,EFO_1001385,
disease,"Neuromuscular dysfunction of bladder, not elsewhere classified",Neurogenic bladder,High,HP_0000011,
,"Ear, nose and throat (ENT)","autoimmune disease of ear, nose and throat",Medium,MONDO_0000587,
,"Ear, nose and throat (ENT)",otorhinolaryngologic disease,Medium,MONDO_0024623,
,Anxiety disorders,"anxiety disorder, panic disorder",Good,"EFO_0006788, EFO_0004262",
,Anxiety disorders,anxiety disorder,Good,EFO_0006788,
,Gap coding: Unable to work due to sickness or disability,Seizures - intellectual disability due to hydroxylysinuria,Medium,Orphanet_79156,
,Gap coding: Unable to work due to sickness or disability,X-linked intellectual disability due to GRIA3 mutations,Medium,Orphanet_364028,
treatment,foot surgery,prophylactic surgery,Good,EFO_0009580,
treatment,discectomy,N/A,Did not map,N/A,
,Types of spread used on bread/crackers: Low fat butter on bread/crackers,low fat diet,Good,EFO_0002758,
,Fractured bone site(s): Arm,Fractured hand bones,Medium,HP_0004277,
,Fractured bone site(s): Arm,arm,Medium,UBERON_0001460,
,Worry too long after embarrassment,worry measurement,High,EFO_0009589,
disease,"Convulsions, not elsewhere classified",Seizure,High,HP_0001250,
,Back pain for 3+ months,Back pain,High,HP_0003418,
,Time spent outdoors in winter,time,Good,EFO_0000721,
,Cheese intake,energy intake,Medium,EFO_0003939,
,Cheese intake,fish consumption measurement,Medium,EFO_0010139,
,"Intra-ocular pressure, corneal-compensated (right)",Low intraocular pressure,Medium,HP_0032547,
,"Intra-ocular pressure, corneal-compensated (right)",Spastic ataxia - corneal dystrophy,Medium,Orphanet_2572,
,Aspartate aminotransferase,aspartate aminotransferase measurement,Good,EFO_0004736,
disease,"Bronchus or lung, unspecified",bronchogenic carcinoma,Good,EFO_1001942,
treatment,salamol 100micrograms inhaler,N/A,Did not map,N/A,
disease,"Angina pectoris, unspecified",Prinzmetal's angina,Medium,EFO_1000013,
disease,"Angina pectoris, unspecified",Ludwig's angina,Medium,EFO_1000730,
,Years of cough on most days,Cough,High,HP_0012735,
disease,Excision of lesion of external ear,cholesteatoma of external ear,Medium,EFO_1000677,
disease,Excision of lesion of external ear,external ear disease,Medium,EFO_0009668,
,Average weekly beer plus cider intake,energy intake,Medium,EFO_0003939,
,Average weekly beer plus cider intake,fish consumption measurement,Medium,EFO_0010139,
disease,Forewater rupture of amniotic membrane,chorioamnionitis,Good,EFO_0009948,
,Heating type(s) in home: Electric storage heaters,Glycogen Storage Disease Type 2b,Good,EFO_1001333,
,Relative age voice broke,age at voice drop,High,EFO_0007888,
disease,Other retinal disorders,retinopathy,High,EFO_0003839,
,Pain type(s) experienced in last month: Facial pain,facial pain,Good,EFO_0009625,
,Cheese consumers,N/A,Did not map,N/A,
disease,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,lipoma,Medium,EFO_0000759,
disease,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,skin disease,Medium,EFO_0000701,
,Apple intake,energy intake,Good,EFO_0003939,
disease,"Urinary tract infection, site not specified",urinary tract infection,Medium,EFO_0003103,
disease,"Urinary tract infection, site not specified",urinary tract obstruction,Medium,EFO_0009571,
disease,Missed abortion,abortion,Medium,EFO_1001491,
disease,Missed abortion,spontaneous abortion,Medium,EFO_1001255,
,"Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)",INTACT,Medium,EFO_0010037,
,"Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)",physical activity,Medium,EFO_0003940,
disease,Subacromial decompression,shoulder impingement syndrome,Good,EFO_1001178,
disease,Varicose veins of lower extremities,Varicose veins,High,HP_0002619,
disease,Skin of breast,breast fibrosis,Good,EFO_1000145,
disease,Diverticular disease of intestine,diverticulitis,High,EFO_1001460,
,Inverse distance to the nearest road,Inverse Marcus-Gunn phenomenon,Medium,Orphanet_98951,
,Inverse distance to the nearest road,metastatic malignant neoplasm in the colon,Medium,MONDO_0041447,
,"Job coding: accounts and wages clerk/assistant/supervisor, bookkeeper, cost or ledger clerk, audit assistant, budget officer, student loans officer, paymaster",N/A,Did not map,N/A,
,"Ulcerative colitis, NAS",ulcerative colitis,Medium,EFO_0000729,
,"Ulcerative colitis, NAS",Dysplasia in Ulcerative Colitis,Medium,EFO_1000226,
,Restless during period of worst anxiety,anxiety,Medium,EFO_0005230,
,Restless during period of worst anxiety,period of infection,Medium,EFO_0000648,
disease,Skin of back,skin of back,High,UBERON_0001068,
,Illnesses of father: Alzheimer's disease/dementia,Alzheimer's disease,Good,EFO_0000249,
,Reticulocyte count,reticulocyte count,High,EFO_0007986,
,Nitrogen dioxide air pollution; 2010,household air pollution measurement,Medium,EFO_0006924,
,Nitrogen dioxide air pollution; 2010,traffic air pollution measurement,Medium,EFO_0007908,
,Illnesses of mother: None of the above (group 1),"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Illnesses of mother: None of the above (group 1),Rh isoimmunization,Medium,EFO_1001159,
,"Job coding: bank manager, bank section manager, building society manager, post/sub-post office manager",sick building syndrome,Medium,EFO_0007484,
,"Job coding: bank manager, bank section manager, building society manager, post/sub-post office manager",cesarean section,Medium,EFO_0009636,
treatment,clopidogrel,clopidogrel,High,CHEBI_37941,
,Testosterone,testosterone,High,CHEBI_17347,
,Worked with materials containing asbestos: Rarely/never,asbestosis,Good,EFO_0007153,
,Sweetcorn intake,energy intake,Medium,EFO_0003939,
,Sweetcorn intake,fish consumption measurement,Medium,EFO_0010139,
,Feta intake,energy intake,Medium,EFO_0003939,
,Feta intake,fish consumption measurement,Medium,EFO_0010139,
disease,Phlebitis and thrombophlebitis,Phlebitis,Good,EFO_1001395,
disease,Phlebitis and thrombophlebitis,Thrombophlebitis,Good,HP_0004418,
,Size of red wine glass drunk: small (125ml),red wine liking measurement,Good,EFO_0006947,
,Beer/cider intake,energy intake,Medium,EFO_0003939,
,Beer/cider intake,fish consumption measurement,Medium,EFO_0010139,
disease,Axillary and upper limb lymph nodes,N/A,Did not map,N/A,
treatment,isosorbide dinitrate,N/A,Did not map,N/A,
,Crispbread intake,energy intake,Medium,EFO_0003939,
,Crispbread intake,fish consumption measurement,Medium,EFO_0010139,
,Other diseases of arteries and capillaries,N/A,Did not map,N/A,
,Duration of light DIY,duration,Medium,EFO_0000433,
,Duration of light DIY,light,Medium,EFO_0000568,
,Other eye problems,eye,Medium,UBERON_0000970,
,Other eye problems,eye infectious disease,Medium,MONDO_0043885,
disease,Shoulder joint,shoulder fracture,Medium,EFO_0009621,
disease,Shoulder joint,frozen shoulder,Medium,EFO_1000941,
,Methods of admission to hospital (recoded): Elective admission: Booked,Loss of ability to walk,Medium,HP_0006957,
,Methods of admission to hospital (recoded): Elective admission: Booked,Diminished ability to concentrate,Medium,HP_0031987,
,Time spend outdoors in summer,time,Good,EFO_0000721,
,Medication for cholesterol  blood pressure  diabetes  or take exogenous hormones: Cholesterol lowering medication,medication adherence behavior,Good,EFO_0006344,
,Workplace had a lot of cigarette smoke from other people smoking: Rarely/never,smoking behavior,Medium,EFO_0004318,
,Workplace had a lot of cigarette smoke from other people smoking: Rarely/never,nicotine dependence,Medium,EFO_0003768,
,Non-cancer illness code  self-reported: ankylosing spondylitis,ankylosing spondylitis,Medium,EFO_0003898,
,Non-cancer illness code  self-reported: ankylosing spondylitis,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Impedance of arm (right),Limb hypertonia,Medium,HP_0002509,
,Impedance of arm (right),Terminal transverse defects of arm,Medium,Orphanet_93937,
,Fracture resulting from simple fall,bone fracture,High,EFO_0003931,
,Period spent working mix of day and night shifts,N/A,Did not map,N/A,
disease,Left ventricular failure,Left ventricular noncompaction,Medium,Orphanet_54260,
disease,Left ventricular failure,"Familial isolated arrhythmogenic ventricular dysplasia, left dominant form",Medium,Orphanet_293888,
,Major coronary heart disease event,coronary heart disease,Medium,EFO_0001645,
,Major coronary heart disease event,coronary artery disease,Medium,EFO_0000378,
,Job SOC coding: Information and communication technology managers,N/A,Did not map,N/A,
,Job SOC coding: Legal secretaries,job-related exhaustion measurement,Medium,EFO_0007881,
,Job SOC coding: Legal secretaries,job satisfaction measurement,Medium,EFO_0009723,
,Illnesses of siblings: Heart disease,heart disease,Medium,EFO_0003777,
,Illnesses of siblings: Heart disease,number of siblings,Medium,EFO_0009713,
disease,Other specified other excision of lesion of skin,cutaneous melanoma,Medium,EFO_0000389,
disease,Other specified other excision of lesion of skin,glaucoma,Medium,EFO_0000516,
,"Non-cancer illness code, self-reported: breast cysts","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: breast cysts",BRCAX breast cancer,Medium,EFO_0009443,
,Mood swings,Mood swings,High,HP_0000720,
,Other and unspecified disorders of skin and subcutaneous tissue,lipoma,Good,EFO_0000759,
,Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding  lawn mowing  carpentry  digging),INTACT,Medium,EFO_0010037,
,Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding  lawn mowing  carpentry  digging),physical activity,Medium,EFO_0003940,
,Ever had refractive laser eye surgery: Both eyes,Deeply set eye,Medium,HP_0000490,
,Ever had refractive laser eye surgery: Both eyes,Setting-sun eye phenomenon,Medium,HP_0012470,
,Drive faster than motorway speed limit,information processing speed,Good,EFO_0004363,
,"Cereal type: Bran cereal (e.g. All Bran, Branflakes)",specimen with known storage state,Medium,OBI_0001472,
,"Cereal type: Bran cereal (e.g. All Bran, Branflakes)",material entity,Medium,BFO_0000040,
,Illnesses of father: Chronic bronchitis/emphysema,chronic bronchitis,Medium,EFO_0006505,
,Illnesses of father: Chronic bronchitis/emphysema,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Breastfed as a baby,Disease with focal palmoplantar keratoderma as a major feature,Medium,Orphanet_307871,
,Breastfed as a baby,Disease with diffuse palmoplantar keratoderma as a major feature,Medium,Orphanet_307711,
disease,"Cerebral infarction, unspecified",anterior cerebral artery infarction,Good,EFO_1000807,
treatment,mammoplasty/cosmetic operation on breast,ileostomy,Good,EFO_0010681,
,Main speciality of consultant (recoded): Nephrology,consultant,Good,EFO_0001732,
,Pear intake,Pear-shaped nose,Medium,HP_0000447,
,Pear intake,Pyrus communis,Medium,NCBITaxon_23211,
treatment,chondroitin product,CHGA cleavage product measurement,Medium,EFO_0007909,
treatment,chondroitin product,CHGB cleavage product measurement,Medium,EFO_0007910,
disease,Dysphagia,Dysphagia,High,HP_0002015,
,Types of transport used (excluding work): Public transport,Disorder of manganese transport,Medium,Orphanet_309851,
,Types of transport used (excluding work): Public transport,carbohydrate transport disease,Medium,MONDO_0045015,
,Non-cancer illness code  self-reported: cholelithiasis/gall stones,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: cholelithiasis/gall stones,gallstones,Medium,EFO_0004210,
disease,Removal of intrauterine contraceptive device NEC,Pancreatic Small Cell Neuroendocrine Carcinoma,Medium,EFO_1000444,
disease,Removal of intrauterine contraceptive device NEC,Pancreatic Large Cell Neuroendocrine Carcinoma,Medium,EFO_1000442,
disease,Lumbosacral joint,Lumbosacral spina bifida cystica,Medium,Orphanet_268758,
disease,Lumbosacral joint,Lumbosacral spina bifida aperta,Medium,Orphanet_268388,
,Triglycerides,triglyceride measurement,High,EFO_0004530,
treatment,seretide 50 evohaler,triacylglycerol 50:1 measurement,Medium,EFO_0010408,
treatment,seretide 50 evohaler,triacylglycerol 50:2 measurement,Medium,EFO_0010409,
,Reason former drinker stopped drinking alcohol: Other reason,alcohol drinking,Good,EFO_0004329,
,Garlic bread intake,energy intake,Medium,EFO_0003939,
,Garlic bread intake,fish consumption measurement,Medium,EFO_0010139,
,Worked with materials containing asbestos: Often,asbestosis,Good,EFO_0007153,
,"Medication for cholesterol, blood pressure or diabetes: Insulin",insulin-resistant diabetes mellitus,Medium,EFO_0010164,
,"Medication for cholesterol, blood pressure or diabetes: Insulin",blood pressure,Medium,EFO_0004325,
,Glycated haemoglobin,HbA1c measurement,Medium,EFO_0004541,
,Glycated haemoglobin,percent glycated albumin,Medium,EFO_0009304,
treatment,gliclazide,N/A,Did not map,N/A,
,Attendance/disability/mobility allowance: Attendance allowance,learning disability,Medium,MONDO_0004681,
,Attendance/disability/mobility allowance: Attendance allowance,Intellectual disability,Medium,HP_0001249,
,"Non-cancer illness code, self-reported: meniere's disease","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: meniere's disease",Meniere disease,Medium,EFO_0006862,
,Illness  injury  bereavement  stress in last 2 years: Serious illness  injury or assault to yourself,kidney injury,Medium,EFO_0009833,
,Illness  injury  bereavement  stress in last 2 years: Serious illness  injury or assault to yourself,injury,Medium,EFO_0000546,
disease,Hordeolum and chalazion,hordeolum,High,EFO_0007315,
,PCT responsible for patient data: KIRKLEES PCT,platelet crit,Good,EFO_0007985,
,Sources of admission to hospital (recoded): Temporary place of residence,place of residence measurement,Good,EFO_0009583,
,Job SOC coding: Elementary office occupations n.e.c.,job-related exhaustion measurement,Good,EFO_0007881,
,Couscous intake,energy intake,Medium,EFO_0003939,
,Couscous intake,fish consumption measurement,Medium,EFO_0010139,
,"Non-cancer illness code, self-reported: angina","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: angina",self rated health,Medium,EFO_0004778,
disease,Mitral (valve) insufficiency,Macrothrombocytopenia with mitral valve insufficiency,Medium,Orphanet_220448,
disease,Mitral (valve) insufficiency,congenital mitral valve insufficiency and/or stenosis,Medium,MONDO_0019817,
,Job SOC coding: Vocational and industrial trainers and instructors,N/A,Did not map,N/A,
,"Non-cancer illness code, self-reported: cervical spondylosis",cervical spondylosis,Medium,EFO_0009610,
